#  E (eV)   dos(E)     Int dos(E) EFermi =   18.294 eV
  10.131  0.2852E-12  0.3761E-14
  10.132  0.3082E-12  0.4069E-14
  10.133  0.3330E-12  0.4402E-14
  10.134  0.3598E-12  0.4762E-14
  10.135  0.3886E-12  0.5150E-14
  10.136  0.4198E-12  0.5570E-14
  10.137  0.4533E-12  0.6023E-14
  10.138  0.4895E-12  0.6513E-14
  10.139  0.5286E-12  0.7042E-14
  10.140  0.5707E-12  0.7612E-14
  10.141  0.6161E-12  0.8228E-14
  10.142  0.6650E-12  0.8893E-14
  10.143  0.7177E-12  0.9611E-14
  10.144  0.7746E-12  0.1039E-13
  10.145  0.8358E-12  0.1122E-13
  10.146  0.9018E-12  0.1212E-13
  10.147  0.9729E-12  0.1310E-13
  10.148  0.1049E-11  0.1415E-13
  10.149  0.1132E-11  0.1528E-13
  10.150  0.1221E-11  0.1650E-13
  10.151  0.1316E-11  0.1781E-13
  10.152  0.1420E-11  0.1923E-13
  10.153  0.1530E-11  0.2076E-13
  10.154  0.1650E-11  0.2241E-13
  10.155  0.1778E-11  0.2419E-13
  10.156  0.1917E-11  0.2611E-13
  10.157  0.2066E-11  0.2818E-13
  10.158  0.2226E-11  0.3040E-13
  10.159  0.2398E-11  0.3280E-13
  10.160  0.2584E-11  0.3538E-13
  10.161  0.2783E-11  0.3817E-13
  10.162  0.2998E-11  0.4116E-13
  10.163  0.3229E-11  0.4439E-13
  10.164  0.3477E-11  0.4787E-13
  10.165  0.3744E-11  0.5161E-13
  10.166  0.4031E-11  0.5565E-13
  10.167  0.4339E-11  0.5998E-13
  10.168  0.4671E-11  0.6466E-13
  10.169  0.5027E-11  0.6968E-13
  10.170  0.5410E-11  0.7509E-13
  10.171  0.5822E-11  0.8092E-13
  10.172  0.6264E-11  0.8718E-13
  10.173  0.6739E-11  0.9392E-13
  10.174  0.7250E-11  0.1012E-12
  10.175  0.7798E-11  0.1090E-12
  10.176  0.8387E-11  0.1174E-12
  10.177  0.9019E-11  0.1264E-12
  10.178  0.9698E-11  0.1361E-12
  10.179  0.1043E-10  0.1465E-12
  10.180  0.1121E-10  0.1577E-12
  10.181  0.1205E-10  0.1698E-12
  10.182  0.1295E-10  0.1827E-12
  10.183  0.1392E-10  0.1966E-12
  10.184  0.1496E-10  0.2116E-12
  10.185  0.1607E-10  0.2276E-12
  10.186  0.1726E-10  0.2449E-12
  10.187  0.1855E-10  0.2635E-12
  10.188  0.1992E-10  0.2834E-12
  10.189  0.2139E-10  0.3048E-12
  10.190  0.2298E-10  0.3277E-12
  10.191  0.2467E-10  0.3524E-12
