 &plot nbnd=  76, nks=   481 /
   -0.416   -0.415   -0.413   -0.413   -0.412   -0.412   -0.401   -0.401   -0.400   -0.399
   -0.382   -0.381   -0.377   -0.377    4.712    4.716    7.441    7.560   11.238   11.313
   14.478   14.510   15.411   15.446   15.489   15.531   15.553   15.608   16.081   16.241
   16.732   16.778   16.926   17.076   18.923   19.049   19.660   19.825   21.080   21.185
   21.219   21.268   21.971   21.972   22.317   22.428
            0.000000  0.000000  0.264188
  -49.462  -49.462  -49.444  -49.444  -22.407  -22.403  -22.334  -22.334  -13.864  -13.839
  -13.682  -13.658  -13.630  -13.617  -13.524  -13.501   -2.397   -2.397   -2.396   -2.396
   -2.390   -2.390   -2.389   -2.389   -2.366   -2.366   -2.366   -2.365   -0.417   -0.417
   -0.416   -0.414   -0.413   -0.413   -0.412   -0.412   -0.401   -0.401   -0.400   -0.399
   -0.382   -0.381   -0.377   -0.377    4.782    4.788    7.460    7.593   11.273   11.356
   14.382   14.415   15.354   15.357   15.359   15.441   15.455   15.502   16.119   16.267
   16.792   16.850   16.992   17.148   18.825   18.969   19.496   19.675   21.010   21.118
   21.296   21.343   22.027   22.037   22.407   22.513
            0.000000  0.000000  0.297212
  -49.461  -49.461  -49.443  -49.443  -22.408  -22.404  -22.337  -22.336  -13.865  -13.836
  -13.690  -13.663  -13.637  -13.623  -13.529  -13.503   -2.397   -2.397   -2.396   -2.396
   -2.390   -2.390   -2.389   -2.389   -2.366   -2.366   -2.366   -2.365   -0.417   -0.417
   -0.416   -0.414   -0.413   -0.412   -0.411   -0.411   -0.401   -0.401   -0.400   -0.399
   -0.382   -0.381   -0.377   -0.377    4.861    4.868    7.482    7.627   11.315   11.406
   14.277   14.309   15.202   15.234   15.294   15.345   15.362   15.411   16.164   16.300
   16.861   16.925   17.066   17.219   18.731   18.896   19.331   19.521   20.940   21.052
   21.378   21.421   22.087   22.107   22.490   22.592
            0.000000  0.000000  0.330236
  -49.460  -49.460  -49.443  -49.443  -22.409  -22.405  -22.339  -22.338  -13.866  -13.834
  -13.699  -13.670  -13.646  -13.629  -13.533  -13.506   -2.397   -2.397   -2.396   -2.396
   -2.390   -2.390   -2.389   -2.389   -2.366   -2.366   -2.366   -2.365   -0.417   -0.417
   -0.416   -0.414   -0.413   -0.413   -0.411   -0.411   -0.401   -0.401   -0.400   -0.399
   -0.382   -0.381   -0.377   -0.377    4.947    4.956    7.506    7.661   11.366   11.463
   14.162   14.193   15.039   15.089   15.205   15.230   15.290   15.345   16.212   16.336
   16.934   16.998   17.149   17.289   18.649   18.834   19.170   19.368   20.872   20.988
   21.464   21.502   22.150   22.182   22.567   22.666
            0.000000  0.000000  0.363259
  -49.460  -49.460  -49.443  -49.443  -22.411  -22.406  -22.342  -22.341  -13.867  -13.832
  -13.708  -13.677  -13.655  -13.635  -13.538  -13.509   -2.397   -2.397   -2.396   -2.396
   -2.390   -2.390   -2.389   -2.389   -2.366   -2.366   -2.366   -2.365   -0.417   -0.417
   -0.416   -0.414   -0.413   -0.413   -0.411   -0.411   -0.401   -0.401   -0.400   -0.399
   -0.382   -0.380   -0.377   -0.377    5.041    5.052    7.531    7.695   11.425   11.527
   14.038   14.066   14.868   14.930   15.107   15.118   15.228   15.284   16.260   16.368
   17.006   17.068   17.236   17.355   18.584   18.787   19.018   19.218   20.805   20.924
   21.552   21.584   22.216   22.259   22.638   22.739
            0.000000  0.000000  0.396283
  -49.459  -49.459  -49.442  -49.442  -22.412  -22.407  -22.345  -22.344  -13.868  -13.829
  -13.718  -13.684  -13.664  -13.642  -13.543  -13.512   -2.397   -2.397   -2.396   -2.396
   -2.391   -2.390   -2.389   -2.389   -2.366   -2.366   -2.366   -2.365   -0.417   -0.417
   -0.416   -0.413   -0.413   -0.413   -0.411   -0.411   -0.401   -0.401   -0.400   -0.399
